"id","lastVisitTimeLocal","lastVisitTimeUTC","title","url","typedCount","visitCount",""[]"_id","<ROOT>_id"
943,"12/18/2017, 11:25:16 AM","12/18/2017 5:55:16 AM","Lab PC5 dataset - sreeram2910@gmail.com - Gmail","https://mail.google.com/mail/u/0/#sent/160682b6b4af3939",0,2,3000001,2000001
944,"12/18/2017, 11:24:58 AM","12/18/2017 5:54:58 AM","","https://mail.google.com/mail/u/0/#sent/160682b6b4af3939?projector=1",0,1,3000002,2000001
181,"12/18/2017, 11:23:46 AM","12/18/2017 5:53:46 AM","Sent Mail - sreeram2910@gmail.com - Gmail","https://mail.google.com/mail/u/0/#sent",0,7,3000003,2000001
152,"12/18/2017, 11:19:24 AM","12/18/2017 5:49:24 AM","Inbox (241) - sreeram2910@gmail.com - Gmail","https://mail.google.com/mail/u/0/#inbox",0,34,3000004,2000001
939,"12/18/2017, 11:08:40 AM","12/18/2017 5:38:40 AM","Data ScienceTutorial for Beginners | Kaggle","https://www.kaggle.com/kanncaa1/data-sciencetutorial-for-beginners",0,1,3000005,2000001
938,"12/18/2017, 11:08:29 AM","12/18/2017 5:38:29 AM","Machine Learning Tutorial for Beginners | Kaggle","https://www.kaggle.com/kanncaa1/machine-learning-tutorial-for-beginners",0,1,3000006,2000001
903,"12/18/2017, 11:07:22 AM","12/18/2017 5:37:22 AM","Kaggle: Your Home for Data Science","https://www.kaggle.com/",0,2,3000007,2000001
937,"12/18/2017, 11:04:16 AM","12/18/2017 5:34:16 AM","Titanic: Getting Started With R - Part 1: Booting Up R - Trevor Stephens","http://trevorstephens.com/kaggle-titanic-tutorial/r-part-1-booting-up/",0,1,3000008,2000001
935,"12/18/2017, 11:04:04 AM","12/18/2017 5:34:04 AM","https://getpocket.com/a/read/1309939682","https://getpocket.com/a/read/1309939682",0,1,3000009,2000001
489,"12/18/2017, 11:02:04 AM","12/18/2017 5:32:04 AM","Sreeram Ganesan | Kaggle","https://www.kaggle.com/sreeram0xb5e",1,5,3000010,2000001
932,"12/18/2017, 11:02:03 AM","12/18/2017 5:32:03 AM","","https://www.kaggle.com/sreeram0xb5e/competitions",0,2,3000011,2000001
934,"12/18/2017, 11:02:01 AM","12/18/2017 5:32:01 AM","","https://www.kaggle.com/sreeram0xb5e/discussion",0,1,3000012,2000001
933,"12/18/2017, 11:02:00 AM","12/18/2017 5:32:00 AM","","https://www.kaggle.com/sreeram0xb5e/kernels",0,1,3000013,2000001
931,"12/18/2017, 11:00:05 AM","12/18/2017 5:30:05 AM","lystdo | Kaggle","https://www.kaggle.com/lystdo",0,2,3000014,2000001
930,"12/18/2017, 10:59:34 AM","12/18/2017 5:29:34 AM","","https://www.kaggle.com/c/kkbox-music-recommendation-challenge/leaderboard",0,1,3000015,2000001
