url,lastVisitTimeLocal
https://mail.google.com/,2017-12-20 07:32:12
https://mail.google.com/mail/,2017-12-20 07:32:12
https://mail.google.com/mail/u/0/,2017-12-20 07:32:13
https://mail.google.com/mail/u/0/#inbox,2017-12-20 07:32:15
https://mail.google.com/mail/u/0/#inbox?compose=new,2017-12-20 07:32:30
https://mail.google.com/mail/u/0/#inbox,2017-12-20 07:32:45
https://mail.google.com/mail/u/0/#inbox?compose=new,2017-12-20 07:32:51
https://mail.google.com/mail/u/0/#inbox?compose=16072d6f8ef28c00,2017-12-20 07:33:02
https://mail.google.com/mail/u/0/#inbox?compose=16072d73d45991a6,2017-12-20 07:33:20
https://mail.google.com/mail/u/0/#inbox,2017-12-20 07:33:24
https://mail.google.com/mail/u/0/#sent/undefined,2017-12-20 07:33:27
https://www.google.com/search?client=ubuntu&channel=fs&q=find+passport+status&ie=utf-8&oe=utf-8,2017-12-20 07:36:16
https://www.google.co.in/search?client=ubuntu&channel=fs&q=find+passport+status&ie=utf-8&oe=utf-8&gfe_rd=cr&dcr=0&ei=7BI6WquZN4by8AfypIfYAQ,2017-12-20 07:36:16
http://passportindia.gov.in/AppOnlineProject/statusTracker/trackStatusInpNew,2017-12-20 07:36:20
https://mail.google.com/mail/u/0/#sent,2017-12-20 07:40:04
https://mail.google.com/mail/u/0/#inbox,2017-12-20 07:40:08
https://mail.google.com/mail/u/0/#sent,2017-12-20 07:40:12
https://mail.google.com/mail/u/0/#sent/1601d9831f24fbde,2017-12-20 07:40:29
https://mail.google.com/mail/u/0/#sent,2017-12-20 07:40:35
https://www.google.com/search?client=ubuntu&channel=fs&q=GOOL&ie=utf-8&oe=utf-8,2017-12-20 07:41:17
https://www.google.co.in/search?client=ubuntu&channel=fs&q=GOOL&ie=utf-8&oe=utf-8&gfe_rd=cr&dcr=0&ei=GhQ6Wt7UEYWmX9iOj9gB,2017-12-20 07:41:18
https://www.google.com/,2017-12-20 07:50:56
https://www.google.co.in/?gfe_rd=cr&dcr=0&ei=YBY6WtXBEIGmX7yYhoAM,2017-12-20 07:50:57
http://youtube.com/,2017-12-20 07:51:00
https://youtube.com/,2017-12-20 07:51:00
https://www.youtube.com/,2017-12-20 07:51:01
https://www.youtube.com/watch?v=Z7iBD9l4FUU,2017-12-20 07:51:39
https://www.youtube.com/watch?v=u77ZL5Ls4tE,2017-12-20 08:06:49
https://www.youtube.com/watch?v=6FvjUQQOoL0,2017-12-20 08:19:16
https://www.youtube.com/,2017-12-20 08:19:24
https://www.youtube.com/watch?v=zpY7tGitjGk,2017-12-20 08:19:51
http://youtube.com/,2017-12-20 08:51:10
https://youtube.com/,2017-12-20 08:51:10
https://www.youtube.com/,2017-12-20 08:51:10
https://www.youtube.com/results?search_query=kworker+cpu+usage,2017-12-20 08:51:53
https://www.youtube.com/watch?v=keNii_57trc,2017-12-20 08:51:58
https://www.google.com/search?client=ubuntu&channel=fs&q=kworker+cpu+usage&ie=utf-8&oe=utf-8,2017-12-20 09:04:24
https://www.google.co.in/search?client=ubuntu&channel=fs&q=kworker+cpu+usage&ie=utf-8&oe=utf-8&gfe_rd=cr&dcr=0&ei=mSc6WubrFOzI8Aep5J3wDg,2017-12-20 09:04:24
https://askubuntu.com/questions/33640/kworker-what-is-it-and-why-is-it-hogging-so-much-cpu,2017-12-20 09:04:28
https://www.google.co.in/search?client=ubuntu&hs=Igx&channel=fs&dcr=0&ei=mSc6WrSIHcXcvASIyarwCg&q=kworker+cpu+usage+reduce&oq=kworker+cpu+usage+reduce&gs_l=psy-ab.3..33i160k1l2.1587.3991.0.4208.9.9.0.0.0.0.216.1013.3j4j1.8.0....0...1c.1.64.psy-ab..1.7.922...0i22i30k1j33i22i29i30k1j33i21k1.0.eWinAjtl9Ks,2017-12-20 09:04:44
https://askubuntu.com/questions/176565/why-does-kworker-cpu-usage-get-so-high,2017-12-20 09:04:49
https://www.google.com/search?client=ubuntu&channel=fs&q=what+is+kworker&ie=utf-8&oe=utf-8,2017-12-20 09:10:12
https://www.google.co.in/search?client=ubuntu&channel=fs&q=what+is+kworker&ie=utf-8&oe=utf-8&gfe_rd=cr&dcr=0&ei=9Sg6WpyyJoby8AfypIfYAQ,2017-12-20 09:10:13
https://askubuntu.com/questions/33640/kworker-what-is-it-and-why-is-it-hogging-so-much-cpu,2017-12-20 09:10:17
https://www.google.com/search?client=ubuntu&channel=fs&q=how+to+export+my+history+to+a+csv+file+firefix&ie=utf-8&oe=utf-8,2017-12-20 09:19:58
https://www.google.co.in/search?client=ubuntu&channel=fs&q=how+to+export+my+history+to+a+csv+file+firefix&ie=utf-8&oe=utf-8&gfe_rd=cr&dcr=0&ei=Pys6WqD9Eojy8AesuLCADg,2017-12-20 09:19:58
https://addons.mozilla.org/en-US/firefox/addon/places-to-csv/,2017-12-20 09:20:04
https://support.mozilla.org/questions/1012361,2017-12-20 09:21:04
https://support.mozilla.org/en-US/questions/1012361,2017-12-20 09:21:05
https://addons.mozilla.org/en-US/firefox/addon/places-to-csv-sdk/,2017-12-20 09:21:22
https://addons.mozilla.org/firefox/addon/places-to-csv,2017-12-20 09:21:36
https://addons.mozilla.org/en-GB/firefox/addon/places-to-csv,2017-12-20 09:21:36
https://addons.mozilla.org/en-GB/firefox/addon/places-to-csv/,2017-12-20 09:21:37
https://addons.mozilla.org/en-US/firefox/addon/export-to-csv/,2017-12-20 09:21:52
https://superuser.com/questions/81928/how-do-i-export-the-browsing-history-in-firefox,2017-12-20 09:22:23
https://www.google.co.in/search?client=ubuntu&hs=3Fd&channel=fs&dcr=0&ei=Pys6Wtu-GMX1vASZrJx4&q=how+to+export+firefox+history+to+csv+ubuntu&oq=how+to+export+firefox+history+to+csv+ubuntu&gs_l=psy-ab.3...3369.18038.0.18296.48.45.0.1.1.0.244.4999.16j24j2.42.0....0...1c.1.64.psy-ab..8.39.4571...0j46j35i39k1j0i46k1j0i67k1j0i131i46k1j46i131k1j0i131k1j0i20i263k1j0i22i30k1j0i22i10i30k1j33i160k1j33i21k1.0.Qk2nmqUKUxo,2017-12-20 09:23:11
https://askubuntu.com/questions/412844/can-i-view-firefox-history-with-the-terminal,2017-12-20 09:23:14
https://cdn.sstatic.net/Sites/askubuntu/img/apple-touch-icon@2.png?v=c492c9229955,2017-12-20 09:33:52
http://zetcode.com/db/sqlite/tool/,2017-12-20 09:34:09
