"id","lastVisitTimeLocal","lastVisitTimeUTC","title","url","typedCount","visitCount",""[]"_id","<ROOT>_id"
1133,"12/19/2017, 2:51:49 PM","12/19/2017 9:21:49 AM","Output of Java Programs | Set 14 (Constructors) - GeeksforGeeks","http://www.geeksforgeeks.org/output-java-programs-set-14-constructors/",0,1,3000001,2000001
1132,"12/19/2017, 2:51:36 PM","12/19/2017 9:21:36 AM","3 Different ways to print Exception messages in Java - GeeksforGeeks","http://www.geeksforgeeks.org/3-different-ways-print-exception-messages-java/",0,1,3000002,2000001
1131,"12/19/2017, 2:51:32 PM","12/19/2017 9:21:32 AM","Is main method compulsory in Java? - GeeksforGeeks","http://www.geeksforgeeks.org/main-method-compulsory-java/",0,1,3000003,2000001
1130,"12/19/2017, 2:51:26 PM","12/19/2017 9:21:26 AM","Delete a file using Java - GeeksforGeeks","http://www.geeksforgeeks.org/delete-file-using-java/",0,1,3000004,2000001
1129,"12/19/2017, 2:49:53 PM","12/19/2017 9:19:53 AM","File Permissions in Java - GeeksforGeeks","http://www.geeksforgeeks.org/file-permissions-java/",0,1,3000005,2000001
1128,"12/19/2017, 2:49:32 PM","12/19/2017 9:19:32 AM","","http://www.geeksforgeeks.org/decision-making-c-c-else-nested-else/#if",0,1,3000006,2000001
54,"12/19/2017, 2:49:20 PM","12/19/2017 9:19:20 AM","StoryNotch - Home","https://www.facebook.com/",9,41,3000007,2000001
1127,"12/19/2017, 2:49:02 PM","12/19/2017 9:19:02 AM","StoryNotch - Home","https://www.facebook.com/storynotch/?hc_ref=ARTuFLh2ymGHvnskEXdR-gnuSPsjNfTplyD6i2X1M1NIq6BI-ct6TN1jixAGDbqDvLM&fref=nf",0,1,3000008,2000001
1126,"12/19/2017, 2:47:47 PM","12/19/2017 9:17:47 AM","Decision Making in C / C++ (if , if..else, Nested if, if-else-if ) - GeeksforGeeks","http://www.geeksforgeeks.org/decision-making-c-c-else-nested-else/",0,1,3000009,2000001
1125,"12/19/2017, 2:47:29 PM","12/19/2017 9:17:29 AM","C++ Data Types - GeeksforGeeks","http://www.geeksforgeeks.org/c-data-types/",0,1,3000010,2000001
968,"12/19/2017, 2:47:22 PM","12/19/2017 9:17:22 AM","C++ Programming Language - GeeksforGeeks","http://www.geeksforgeeks.org/c-plus-plus/",0,2,3000011,2000001
1124,"12/19/2017, 2:46:52 PM","12/19/2017 9:16:52 AM","Old Rockin' Chair Tom - Wikipedia","https://en.wikipedia.org/wiki/Old_Rockin%27_Chair_Tom",0,1,3000012,2000001
1123,"12/19/2017, 2:45:02 PM","12/19/2017 9:15:02 AM","Google - Year In Search 2014 - YouTube","https://www.youtube.com/watch?v=DVwHCGAr_OE",0,1,3000013,2000001
1086,"12/19/2017, 2:45:02 PM","12/19/2017 9:15:02 AM","YouTube","https://www.youtube.com/watch?v=vI4LHl4yFuo&feature=share",0,3,3000014,2000001
1122,"12/19/2017, 2:44:14 PM","12/19/2017 9:14:14 AM","Search an element in a Linked List (Iterative and Recursive) - GeeksforGeeks","http://www.geeksforgeeks.org/search-an-element-in-a-linked-list-iterative-and-recursive/",0,1,3000015,2000001
1076,"12/19/2017, 2:44:09 PM","12/19/2017 9:14:09 AM","Paneer Butter Masala Recipe (Restaurant Style Recipe) | VegeCravings","http://vegecravings.com/paneer-butter-masala-recipe/",0,2,3000016,2000001
1119,"12/19/2017, 2:43:27 PM","12/19/2017 9:13:27 AM","Kadai Paneer Gravy Recipe | How to make Kadai Paneer Gravy | VegeCravings","http://vegecravings.com/kadai-paneer-gravy-recipe/",0,1,3000017,2000001
1087,"12/19/2017, 2:42:43 PM","12/19/2017 9:12:43 AM","Veg Manchurian Recipe (Dry Mixed Vegetable Manchurian) | VegeCravings","http://vegecravings.com/dry-vegetable-manchurian/",0,2,3000018,2000001
66,"12/19/2017, 2:42:19 PM","12/19/2017 9:12:19 AM","Linked List Data Structure - GeeksforGeeks","http://www.geeksforgeeks.org/data-structures/linked-list/",0,4,3000019,2000001
1118,"12/19/2017, 2:41:19 PM","12/19/2017 9:11:19 AM","Instagram","https://www.instagram.com/",0,2,3000020,2000001
1117,"12/19/2017, 2:41:11 PM","12/19/2017 9:11:11 AM","Jumana Ajmal Khan (@jumana_ajmalkhan) • Instagram photos and videos","https://www.instagram.com/jumana_ajmalkhan/",0,2,3000021,2000001
