"id","lastVisitTimeLocal","lastVisitTimeUTC","title","url","typedCount","visitCount",""[]"_id","<ROOT>_id"
109,"1/17/2018, 9:48:39 PM","1/17/2018 4:18:39 PM","Log in with Facebook","https://www.facebook.com/dialog/oauth?app_id=19507961798&channel_url=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FlY4eZXm_YWu.js%3Fversion%3D42%23cb%3Df6309791713a8c%26domain%3Dsoundcloud.com%26origin%3Dhttps%253A%252F%252Fsoundcloud.com%252Ff1a44747bcb5d8%26relation%3Dopener&client_id=19507961798&display=popup&domain=soundcloud.com&e2e=%7B%7D&locale=en_US&origin=1&redirect_uri=https%3A%2F%2Fstaticxx.facebook.com%2Fconnect%2Fxd_arbiter%2Fr%2FlY4eZXm_YWu.js%3Fversion%3D42%23cb%3Df25c1dc52a1e6c4%26domain%3Dsoundcloud.com%26origin%3Dhttps%253A%252F%252Fsoundcloud.com%252Ff1a44747bcb5d8%26relation%3Dopener%26frame%3Df19c12fa3c77ce8&response_type=token%2Csigned_request&scope=email%2Cuser_birthday&sdk=joey",0,1,3000001,2000001
108,"1/17/2018, 9:48:11 PM","1/17/2018 4:18:11 PM","","https://soundcloud.com/twiml",0,1,3000002,2000001
106,"1/17/2018, 9:48:11 PM","1/17/2018 4:18:11 PM","Search everything on SoundCloud","https://soundcloud.com/search?q=siraj%20raval",0,4,3000003,2000001
107,"1/17/2018, 9:47:07 PM","1/17/2018 4:17:07 PM","","https://soundcloud.com/siraj-raval",0,1,3000004,2000001
105,"1/17/2018, 9:46:49 PM","1/17/2018 4:16:49 PM","","https://soundcloud.com/the_verge",0,2,3000005,2000001
104,"1/17/2018, 9:46:40 PM","1/17/2018 4:16:40 PM","","https://soundcloud.com/search?q=the%20verge",0,2,3000006,2000001
103,"1/17/2018, 9:46:36 PM","1/17/2018 4:16:36 PM","Search everything on SoundCloud","https://soundcloud.com/search?q=machine%20learning",0,2,3000007,2000001
102,"1/17/2018, 9:46:09 PM","1/17/2018 4:16:09 PM","The most played tracks on SoundCloud this week","https://soundcloud.com/charts/top",0,3,3000008,2000001
97,"1/17/2018, 9:45:24 PM","1/17/2018 4:15:24 PM","rockstar (feat. 21 Savage) by Post Malone","https://soundcloud.com/",0,3,3000009,2000001
101,"1/17/2018, 9:43:49 PM","1/17/2018 4:13:49 PM","Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in","https://www.amazon.in/ref=nav_logo",0,1,3000010,2000001
100,"1/17/2018, 9:42:38 PM","1/17/2018 4:12:38 PM","Online Shopping site in India: Shop Online for Mobiles, Books, Watches, Shoes and More - Amazon.in","https://www.amazon.in/",0,1,3000011,2000001
96,"1/17/2018, 9:42:17 PM","1/17/2018 4:12:17 PM","sound cloud - Google Search","https://www.google.co.in/search?q=sound+cloud&oq=sound+cloud&aqs=chrome..69i57.4895j0j7&sourceid=chrome&ie=UTF-8",0,1,3000012,2000001
95,"1/17/2018, 9:40:57 PM","1/17/2018 4:10:57 PM","Queue Data Structure - GeeksforGeeks","https://www.geeksforgeeks.org/queue-data-structure/",0,1,3000013,2000001
94,"1/17/2018, 9:40:34 PM","1/17/2018 4:10:34 PM","It's the (Democracy-Poisoning) Golden Age of Free Speech | WIRED","https://www.wired.com/story/free-speech-issue-tech-turmoil-new-censorship/",0,1,3000014,2000001
93,"1/17/2018, 9:40:19 PM","1/17/2018 4:10:19 PM","Science | WIRED","https://www.wired.com/category/science/",0,1,3000015,2000001
92,"1/17/2018, 9:38:30 PM","1/17/2018 4:08:30 PM","Why 1% done? | Zomato Blog","https://www.zomato.com/blog/why-1-done-2",0,1,3000016,2000001
91,"1/17/2018, 9:35:52 PM","1/17/2018 4:05:52 PM","Linked List | Set 3 (Deleting a node) - GeeksforGeeks","https://www.geeksforgeeks.org/linked-list-set-3-deleting-node/",0,1,3000017,2000001
87,"1/17/2018, 9:35:47 PM","1/17/2018 4:05:47 PM","Sreeram Ganesan","https://www.facebook.com/sree.ram.90410",0,1,3000018,2000001
86,"1/17/2018, 9:35:40 PM","1/17/2018 4:05:40 PM","VITMUN 2018","https://www.facebook.com/groups/vitmun/",0,1,3000019,2000001
85,"1/17/2018, 9:35:25 PM","1/17/2018 4:05:25 PM","Culture | Zomato Blog","https://www.zomato.com/blog/category/culture",0,1,3000020,2000001
82,"1/17/2018, 9:34:51 PM","1/17/2018 4:04:51 PM","Guidelines and Policies | Zomato","https://www.zomato.com/policies",0,1,3000021,2000001
81,"1/17/2018, 9:34:51 PM","1/17/2018 4:04:51 PM","Linked List | Set 1 (Introduction) - GeeksforGeeks","https://www.geeksforgeeks.org/linked-list-set-1-introduction/",0,1,3000022,2000001
77,"1/17/2018, 9:34:25 PM","1/17/2018 4:04:25 PM","Facebook's Adam Mosseri on Why You'll See Less Video, More From Friends | WIRED","https://www.wired.com/story/facebooks-adam-mosseri-on-why-youll-see-less-video-more-from-friends/",0,1,3000023,2000001
76,"1/17/2018, 9:33:03 PM","1/17/2018 4:03:03 PM","","https://www.geeksforgeeks.org/data-structures/linked-list/#singlyLinkedList",0,1,3000024,2000001
75,"1/17/2018, 9:32:49 PM","1/17/2018 4:02:49 PM","Linked List Data Structure - GeeksforGeeks","https://www.geeksforgeeks.org/data-structures/linked-list/",0,1,3000025,2000001
73,"1/17/2018, 9:32:44 PM","1/17/2018 4:02:44 PM","Data Structures - GeeksforGeeks","https://www.geeksforgeeks.org/data-structures/",0,1,3000026,2000001
71,"1/17/2018, 9:32:32 PM","1/17/2018 4:02:32 PM","Watch Wildlife Crime Evidence Go Up in Flames to Protect Species","https://news.nationalgeographic.com/2018/01/wildlife-watch-indonesia-wildlife-crime-burn/",0,1,3000027,2000001
69,"1/17/2018, 9:31:27 PM","1/17/2018 4:01:27 PM","About | Donald J Trump","https://www.donaldjtrump.com/about/",0,1,3000028,2000001
67,"1/17/2018, 9:30:46 PM","1/17/2018 4:00:46 PM","Home | Donald J Trump","https://www.donaldjtrump.com/",0,2,3000029,2000001
66,"1/17/2018, 9:30:25 PM","1/17/2018 4:00:25 PM","","https://www.nationalgeographic.com/",0,1,3000030,2000001
65,"1/17/2018, 9:30:24 PM","1/17/2018 4:00:24 PM","nationaal geography - Google Search","https://www.google.co.in/search?q=nationaal+geography&oq=nationaal+geography&aqs=chrome..69i57j0l5.6794j0j7&sourceid=chrome&ie=UTF-8",0,1,3000031,2000001
64,"1/17/2018, 9:30:16 PM","1/17/2018 4:00:16 PM","donald trump - Google Search","https://www.google.co.in/search?q=donald+trump&oq=donald+trump&aqs=chrome..69i57j0l5.4734j0j7&sourceid=chrome&ie=UTF-8",0,1,3000032,2000001
63,"1/17/2018, 9:30:09 PM","1/17/2018 4:00:09 PM","The Project Veritas Twitter Videos Show the Conservative Backlash Against Moderation | WIRED","https://www.wired.com/story/twitter-project-veritas-videos-backlash/",0,1,3000033,2000001
61,"1/17/2018, 9:29:52 PM","1/17/2018 3:59:52 PM","Connaught Place Restaurants, New Delhi - Zomato","https://www.zomato.com/ncr/connaught-place-delhi-restaurants",0,2,3000034,2000001
62,"1/17/2018, 9:29:48 PM","1/17/2018 3:59:48 PM","twitter - Google Search","https://www.google.co.in/search?q=twitter&oq=twitter+&aqs=chrome..69i57j0j35i39l2j0l2.1769j0j7&sourceid=chrome&ie=UTF-8",0,1,3000035,2000001
